scenario,group,discipline,service_distribution,capacity,age_threshold,simulated_time,server_utilization,avg_queue_length,avg_system_length,throughput,mean_wait_A,mean_wait_B,mean_wait_total,mean_sojourn_A,mean_sojourn_B,mean_sojourn_total,p95_wait_total,drop_rate_total,drop_rate_A,drop_rate_B,promoted_fraction_A,completed_A,completed_B,replication
prioridade_dinamica,disciplinas,dynamic_aging,exponential,,2.0,33396.27352828815,0.7534655685485188,2.275558159597327,3.0290237281458303,0.748586514564982,3.344474276320436,2.436536002322294,3.0398065090976196,4.351592750833873,3.441864079715401,4.046324197953359,11.329117134080661,0.0,0.0,0.0,0.4896153151526097,16611,8389,7
prioridade_dinamica_T1,sensibilidade_T,dynamic_aging,exponential,,1.0,33388.971876987,0.7437351120426682,2.1125121869407146,2.856247298983393,0.7487502188478882,2.965243000282837,2.532603389446097,2.820758675847799,3.961123411735467,3.5207631701171542,3.8140607054446147,10.36448250561807,0.0,0.0,0.0,0.5915205380735047,16651,8349,1
prioridade_dinamica_T1,sensibilidade_T,dynamic_aging,exponential,,1.0,33418.32304178473,0.7491482133365448,2.3694861674808307,3.1186343808173715,0.7480925948540611,3.330314563560256,2.843008102740969,3.1665601004665427,4.333526865754078,3.840860262643452,4.167971180444783,11.54139618068075,0.0,0.0,0.0,0.6007950370414985,16599,8401,2
prioridade_dinamica_T1,sensibilidade_T,dynamic_aging,exponential,,1.0,33347.996803843496,0.7508559312957347,2.2696908431974885,3.020546774493214,0.7496702169864261,3.2199434323012053,2.6374467775003456,3.0269506406325846,4.2180426032550455,3.646056865169251,4.02853228851246,11.500508759538207,0.0,0.0,0.0,0.6017344497607655,16717,8283,3
prioridade_dinamica_T1,sensibilidade_T,dynamic_aging,exponential,,1.0,33276.900054816004,0.754440613677889,2.212296171202089,2.9667367848800024,0.7512719020947948,3.083679628381497,2.6680528385032938,2.9436134001925423,4.088663473945211,3.6707635398011127,3.947831196138649,10.38405890474678,0.0,0.0,0.0,0.5989143546441495,16575,8425,4
prioridade_dinamica_T1,sensibilidade_T,dynamic_aging,exponential,,1.0,33158.56676253296,0.762573754805063,2.6099707153780796,3.37254447018319,0.7539529732704969,3.615637520870925,3.1513973408995692,3.4614726419060373,4.635956081832231,4.144961955345187,4.472906752308414,12.486691594985132,0.0,0.0,0.0,0.6116167664670659,16698,8302,5
prioridade_dinamica_T1,sensibilidade_T,dynamic_aging,exponential,,1.0,33387.26768993716,0.7495868980632724,2.158482148285385,2.9080690463486225,0.7487884373220196,3.0387781173287483,2.564576022520157,2.882632851550175,4.033682409890094,3.5781940065872444,3.8836991884505316,10.368630094400942,0.0,0.0,0.0,0.5887404580152672,16768,8232,6
prioridade_dinamica_T1,sensibilidade_T,dynamic_aging,exponential,,1.0,33269.35500323232,0.7414396250045302,2.1974178397257655,2.9388574647302925,0.7514422806685341,3.0728078229056854,2.629651912184046,2.924102425503932,4.055112613240947,3.6250212321840642,3.9107911494134995,10.94177701324179,0.0,0.0,0.0,0.581326751745726,16611,8389,7
prioridade_dinamica_T2,sensibilidade_T,dynamic_aging,exponential,,2.0,33237.40035813543,0.7504116493895662,2.2357488600407622,2.9861605094303068,0.752164721988578,3.281199712901101,2.3333665507090458,2.9723956686589292,4.27997640900876,3.3287442316513407,3.9700649656257125,10.544288603043242,0.0,0.0,0.0,0.4925842429995254,16855,8145,1
prioridade_dinamica_T2,sensibilidade_T,dynamic_aging,exponential,,2.0,33559.12560609345,0.7393497736382657,2.1249046981777076,2.8642544718159977,0.7449538552774648,3.1308412322684003,2.299927280550702,2.852285639094559,4.115003639290115,3.308892425291096,3.8447629159090835,10.723074276043917,0.0,0.0,0.0,0.47743953796173744,16619,8381,2
prioridade_dinamica_T2,sensibilidade_T,dynamic_aging,exponential,,2.0,33701.208477684275,0.7405606910422866,2.031998596071431,2.772559287113747,0.7418131612863111,3.069193031754706,2.0870194862769225,2.73922200741599,4.067552191687283,3.085237110417077,3.7375336169837445,10.156203861308313,0.0,0.0,0.0,0.483886512860671,16601,8399,3
prioridade_dinamica_T2,sensibilidade_T,dynamic_aging,exponential,,2.0,33269.96840336474,0.7595151790804738,2.611490995707593,3.3710061747880444,0.7514284262882449,3.7946806199342578,2.8296428315526225,3.475368916514542,4.795937382720686,3.859626255390981,4.486130756909833,12.976071211996896,0.0,0.0,0.0,0.5123146819703491,16728,8272,4
prioridade_dinamica_T2,sensibilidade_T,dynamic_aging,exponential,,2.0,33335.9591483682,0.7578968780923288,2.4815776156596567,3.2394744937519757,0.7499409238154094,3.6082150613434982,2.71351209945887,3.3089548146523278,4.6164779956053215,3.728788428867349,4.319563589322804,12.187345095393539,0.0,0.0,0.0,0.5033355369914058,16638,8362,5
prioridade_dinamica_T2,sensibilidade_T,dynamic_aging,exponential,,2.0,33526.11552308383,0.7597817079187772,2.246773762124774,3.00655547004355,0.7456873428353691,3.31266873457293,2.4067128082557137,3.012978514147195,4.334618964586051,3.41944581477224,4.031879686627642,10.691178548651806,0.0,0.0,0.0,0.4994621085345446,16730,8270,6
prioridade_dinamica_T2,sensibilidade_T,dynamic_aging,exponential,,2.0,33283.94159067913,0.7506530024391167,2.0976352185611993,2.848288221000333,0.7511129633456941,3.124624513244564,2.1266494832569323,2.7922589092574825,4.123112733170858,3.127838302497842,3.7916465367795174,10.195577691167273,0.0,0.0,0.0,0.47772381123703306,16674,8326,7
prioridade_dinamica_T4,sensibilidade_T,dynamic_aging,exponential,,4.0,32978.77487374209,0.7560740020846916,2.337477322962513,3.0935513250472333,0.7580633330289404,3.5779024715355883,2.0923752136737233,3.082568262674128,4.5802529959263705,3.079806255443356,4.0799440347797145,11.392874131120152,0.0,0.0,0.0,0.3514729705405892,16664,8336,1
prioridade_dinamica_T4,sensibilidade_T,dynamic_aging,exponential,,4.0,33512.022228233734,0.7481332989090753,2.1656597029336586,2.913793001842688,0.7460009375064691,3.407716822995721,1.8980762442236858,2.9030137847006543,4.415315963481204,2.8914951060043803,3.905872174409552,10.682702202902874,0.0,0.0,0.0,0.33635762783152073,16642,8358,2
prioridade_dinamica_T4,sensibilidade_T,dynamic_aging,exponential,,4.0,33378.193577405356,0.7485549798692431,2.2406025233969635,2.989157503266205,0.7489920010807058,3.4928114661802376,1.9636516310080525,2.9914305394239817,4.498476615608962,2.950259111251481,3.9908470602802315,10.942557741502242,0.0,0.0,0.0,0.34854796477029276,16803,8197,3
prioridade_dinamica_T4,sensibilidade_T,dynamic_aging,exponential,,4.0,33544.660306435966,0.7444260200381448,2.1196916045134477,2.8641176245515902,0.7452750980818081,3.317020619941481,1.889514199131292,2.844173393112314,4.314811933543911,2.890534002697646,3.843034111730394,10.630338914503227,0.0,0.0,0.0,0.3217297685268258,16719,8281,4
prioridade_dinamica_T4,sensibilidade_T,dynamic_aging,exponential,,4.0,33229.702526701774,0.7591653340356478,2.4803805547105573,3.2395458887461883,0.7523389648135194,3.816319808079614,2.258716194232891,3.2963917217775776,4.817466552243578,3.2836100461846693,4.305465250521114,12.279023120117927,0.0,0.0,0.0,0.3622666426556216,16655,8345,5
prioridade_dinamica_T4,sensibilidade_T,dynamic_aging,exponential,,4.0,33567.191286695546,0.7518823961362476,2.2271614967551936,2.9790438928914456,0.7447748543056929,3.4581814075808546,2.0584665201505223,2.9903407036061402,4.466357669830574,3.0707324975703307,3.99988391225431,11.487853230328255,0.0,0.0,0.0,0.33181135476118956,16644,8356,6
prioridade_dinamica_T4,sensibilidade_T,dynamic_aging,exponential,,4.0,33375.78319413277,0.7561821958347771,2.2569229057969755,3.013105101631726,0.7490460929286845,3.5402875982716906,1.9712671599793246,3.0129084485528606,4.553867049408497,2.9727898153318857,4.022435369490666,10.958771588011587,0.0,0.0,0.0,0.3483944815952768,16597,8403,7
dinamica_servico_exponencial,distribuicoes_servico,dynamic_aging,exponential,,2.0,33436.52437820001,0.7554707882410473,2.3767107597115964,3.1321815479526474,0.7476853669725174,3.4855259415767956,2.5625335523552417,3.1787232713995515,4.497288288604014,3.5702355807734363,4.189135968521129,11.432430260658293,0.0,0.0,0.0,0.5011682942903362,16690,8310,1
dinamica_servico_exponencial,distribuicoes_servico,dynamic_aging,exponential,,2.0,33558.80698353451,0.7375779322389872,2.151222616648937,2.8888005488878923,0.744960928207792,3.176969806917859,2.3189333562157044,2.88733102261884,4.1717079769282455,3.2998998960640527,3.8774204411517283,10.764924976974726,0.0,0.0,0.0,0.48288353559137837,16561,8439,2
dinamica_servico_exponencial,distribuicoes_servico,dynamic_aging,exponential,,2.0,33381.672805304974,0.745191800974619,2.088789230459147,2.8339810314337552,0.7489139368721819,3.0928588820365692,2.1783940715463967,2.78848841451302,4.086348918531483,3.17651071120895,3.7835183696062513,10.174760269947,0.0,0.0,0.0,0.483517142172141,16679,8321,3
dinamica_servico_exponencial,distribuicoes_servico,dynamic_aging,exponential,,2.0,33306.32559272694,0.7492047926569193,2.225170301573887,2.9743750942307647,0.7506081669200765,3.2480038886586526,2.3847422804854044,2.963990819569654,4.24956050700473,3.3758847105288132,3.9621211699641536,10.990897240380946,0.0,0.0,0.0,0.4766360710454166,16775,8225,4
dinamica_servico_exponencial,distribuicoes_servico,dynamic_aging,exponential,,2.0,33374.16435981653,0.7492607096370095,2.098299286994949,2.8475599966319654,0.7490824258689374,3.0972540496230936,2.201192751682424,2.8011237118796615,4.0996753053836805,3.197007698772371,3.801361714750775,10.037953363927045,0.0,0.0,0.0,0.4850657108721625,16738,8262,5
dinamica_servico_exponencial,distribuicoes_servico,dynamic_aging,exponential,,2.0,33612.83042412238,0.7429177611575204,2.2061032681921726,2.949021029349686,0.7437636070676943,3.2629502663727896,2.3824018378129224,2.9661350020738295,4.262886643433606,3.3791531310166407,3.964997751068095,10.715957003965741,0.0,0.0,0.0,0.48766065286912447,16573,8427,6
